loan_status,term,sub_grade,initial_list_status,application_type,verification_status,purpose,home_ownership,earliest_cr_line,loan_amnt,int_rate,installment,annual_inc,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies
1, 36 months,C4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Aug-2003,3600.0,13.99,123.03,55000.0,5.91,7.0,0.0,2765.0,29.7,13.0,1.0,0.0
1, 36 months,C1,w,Individual,Not Verified,small_business,MORTGAGE,Dec-1999,24700.0,11.99,820.28,65000.0,16.06,22.0,0.0,21470.0,19.2,38.0,4.0,0.0
1, 60 months,B4,w,Joint App,Not Verified,home_improvement,MORTGAGE,Aug-2000,20000.0,10.78,432.66,63000.0,10.78,6.0,0.0,7869.0,56.2,18.0,5.0,0.0
1, 60 months,F1,w,Individual,Source Verified,major_purchase,MORTGAGE,Jun-1998,10400.0,22.45,289.91,104433.0,25.37,12.0,0.0,21929.0,64.5,35.0,6.0,0.0
1, 36 months,C3,w,Individual,Source Verified,debt_consolidation,RENT,Oct-1987,11950.0,13.44,405.18,34000.0,10.2,5.0,0.0,8822.0,68.4,6.0,0.0,0.0
1, 36 months,B2,f,Individual,Not Verified,debt_consolidation,MORTGAGE,Jun-1990,20000.0,9.17,637.58,180000.0,14.67,12.0,0.0,87329.0,84.5,27.0,4.0,0.0
1, 36 months,B1,w,Individual,Not Verified,major_purchase,MORTGAGE,Feb-1999,20000.0,8.49,631.26,85000.0,17.61,8.0,0.0,826.0,5.7,15.0,3.0,0.0
1, 36 months,A2,w,Individual,Not Verified,credit_card,RENT,Apr-2002,10000.0,6.49,306.45,85000.0,13.07,14.0,1.0,10464.0,34.5,23.0,1.0,1.0
1, 36 months,B5,w,Individual,Not Verified,credit_card,MORTGAGE,Nov-1994,8000.0,11.48,263.74,42000.0,34.8,8.0,0.0,7034.0,39.1,18.0,1.0,0.0
1, 36 months,C2,w,Individual,Not Verified,other,MORTGAGE,Jun-1996,1400.0,12.88,47.1,64000.0,34.95,17.0,0.0,37828.0,67.2,24.0,4.0,0.0
0, 60 months,E2,w,Individual,Not Verified,debt_consolidation,RENT,Jun-2005,18000.0,19.48,471.7,150000.0,9.39,18.0,1.0,14052.0,40.7,27.0,2.0,1.0
1, 36 months,A2,w,Individual,Not Verified,debt_consolidation,MORTGAGE,May-1984,28000.0,6.49,858.05,92000.0,21.6,16.0,0.0,51507.0,64.5,24.0,2.0,0.0
1, 36 months,A4,w,Individual,Not Verified,credit_card,MORTGAGE,Jun-1996,9600.0,7.49,298.58,60000.0,22.44,7.0,0.0,7722.0,59.4,9.0,0.0,0.0
1, 36 months,A4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Dec-2001,25000.0,7.49,777.55,109000.0,26.02,9.0,0.0,20862.0,54.3,19.0,3.0,0.0
1, 60 months,C1,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Nov-1993,18000.0,11.99,400.31,112000.0,8.68,17.0,0.0,10711.0,15.5,27.0,4.0,0.0
1, 36 months,E3,w,Individual,Verified,debt_consolidation,RENT,Mar-2005,8650.0,19.89,320.99,55000.0,25.49,18.0,1.0,9568.0,46.0,19.0,0.0,1.0
1, 60 months,C2,w,Individual,Verified,debt_consolidation,MORTGAGE,May-2004,29900.0,12.88,678.49,65000.0,21.77,15.0,0.0,31682.0,46.7,31.0,2.0,0.0
1, 60 months,C5,w,Individual,Not Verified,credit_card,MORTGAGE,Jun-1991,16000.0,14.85,379.39,48000.0,33.18,11.0,2.0,19108.0,29.6,19.0,2.0,0.0
1, 36 months,C3,w,Individual,Source Verified,debt_consolidation,OWN,May-2000,28000.0,13.44,949.38,125000.0,7.49,6.0,0.0,22780.0,63.1,22.0,0.0,0.0
1, 36 months,C3,w,Individual,Verified,credit_card,RENT,Oct-2011,5000.0,13.44,169.54,79000.0,12.7,3.0,0.0,9441.0,101.5,5.0,0.0,0.0
1, 36 months,A4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,May-1994,6000.0,7.49,186.61,100000.0,13.28,9.0,0.0,8563.0,72.0,16.0,2.0,0.0
0, 36 months,C5,w,Individual,Source Verified,debt_consolidation,RENT,Jul-2011,4225.0,14.85,146.16,35000.0,15.22,6.0,0.0,1058.0,24.6,6.0,0.0,0.0
1, 36 months,A1,w,Individual,Not Verified,debt_consolidation,OWN,May-1991,20000.0,5.32,602.3,65000.0,18.83,12.0,0.0,2269.0,3.0,17.0,0.0,0.0
1, 60 months,D4,w,Individual,Source Verified,debt_consolidation,MORTGAGE,Apr-2002,16000.0,17.97,406.04,109000.0,23.35,11.0,0.0,42469.0,87.6,33.0,1.0,0.0
1, 36 months,A1,w,Individual,Source Verified,credit_card,MORTGAGE,May-2001,17600.0,5.32,530.03,88000.0,26.59,20.0,0.0,12203.0,34.4,42.0,5.0,0.0
1, 36 months,A1,w,Individual,Source Verified,home_improvement,MORTGAGE,Jun-2002,15000.0,5.32,451.73,44000.0,15.34,7.0,0.0,17003.0,50.3,21.0,2.0,0.0
0, 36 months,C2,w,Individual,Not Verified,small_business,MORTGAGE,Dec-1985,16000.0,12.88,538.18,65000.0,18.96,7.0,1.0,5157.0,54.3,20.0,0.0,0.0
0, 60 months,F3,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Apr-2007,24250.0,24.24,701.01,75000.0,20.84,18.0,0.0,24799.0,65.3,21.0,2.0,0.0
1, 36 months,B4,w,Individual,Not Verified,debt_consolidation,RENT,Feb-2002,12000.0,10.78,391.62,98000.0,24.04,15.0,1.0,20462.0,62.8,39.0,8.0,0.0
0, 60 months,C4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Jun-2001,25000.0,13.99,581.58,79000.0,34.53,33.0,0.0,22519.0,18.6,72.0,6.0,0.0
1, 36 months,A4,w,Individual,Not Verified,credit_card,MORTGAGE,Oct-1996,7000.0,7.49,217.72,59000.0,13.06,10.0,0.0,10467.0,24.2,34.0,3.0,0.0
1, 60 months,C4,w,Individual,Source Verified,credit_card,RENT,Jan-2005,21000.0,13.99,488.53,52000.0,14.47,5.0,0.0,20374.0,87.4,15.0,0.0,0.0
1, 60 months,C5,w,Individual,Not Verified,other,MORTGAGE,Jul-2001,27500.0,14.85,652.06,195000.0,6.79,14.0,0.0,34974.0,50.9,19.0,1.0,0.0
1, 36 months,B5,w,Individual,Verified,home_improvement,MORTGAGE,Aug-2004,7200.0,11.48,237.36,72500.0,8.47,5.0,0.0,5449.0,35.2,7.0,2.0,0.0
1, 36 months,C5,w,Individual,Not Verified,credit_card,RENT,Jun-2007,20000.0,14.85,691.84,110000.0,12.45,8.0,0.0,21374.0,84.5,12.0,0.0,0.0
1, 36 months,D1,w,Individual,Not Verified,house,RENT,Jul-2004,20000.0,15.77,700.88,70000.0,22.21,24.0,0.0,19077.0,36.6,63.0,1.0,0.0
0, 60 months,D4,w,Individual,Not Verified,credit_card,MORTGAGE,Apr-2001,10000.0,17.97,253.78,55000.0,35.7,14.0,0.0,38623.0,78.0,28.0,6.0,0.0
1, 36 months,B3,w,Individual,Not Verified,debt_consolidation,RENT,May-1992,20000.0,9.8,643.47,75000.0,23.45,14.0,0.0,7558.0,9.6,26.0,1.0,0.0
1, 36 months,A1,w,Individual,Not Verified,credit_card,MORTGAGE,Jul-2001,8650.0,5.32,260.5,100000.0,7.28,15.0,0.0,7158.0,26.7,24.0,1.0,0.0
1, 60 months,C3,w,Individual,Source Verified,debt_consolidation,RENT,Oct-1999,21000.0,13.44,482.56,54649.0,12.14,9.0,1.0,1581.0,26.8,44.0,2.0,1.0
1, 36 months,D1,w,Individual,Not Verified,debt_consolidation,RENT,Jun-2005,7200.0,15.77,252.32,55000.0,17.35,24.0,1.0,5938.0,69.0,43.0,0.0,0.0
1, 36 months,B3,w,Individual,Source Verified,credit_card,MORTGAGE,Nov-2001,8800.0,9.8,283.13,92000.0,5.18,9.0,0.0,9195.0,76.6,24.0,2.0,0.0
1, 36 months,D3,w,Individual,Verified,other,MORTGAGE,Jan-2001,2500.0,17.27,89.47,50000.0,17.6,7.0,0.0,732.0,31.1,22.0,0.0,0.0
1, 36 months,B2,w,Individual,Not Verified,credit_card,MORTGAGE,Sep-2004,11000.0,9.17,350.67,69000.0,21.34,9.0,0.0,8137.0,84.8,18.0,2.0,0.0
1, 36 months,C2,f,Individual,Not Verified,house,MORTGAGE,Sep-2006,10000.0,12.88,336.37,91392.0,9.44,13.0,0.0,6959.0,41.7,33.0,3.0,0.0
1, 60 months,D5,w,Individual,Verified,debt_consolidation,MORTGAGE,Oct-2002,28000.0,18.49,718.51,75000.0,31.88,27.0,0.0,43413.0,51.9,46.0,2.0,0.0
1, 60 months,C1,w,Individual,Source Verified,home_improvement,MORTGAGE,Feb-1990,35000.0,11.99,778.38,128000.0,6.46,17.0,0.0,14277.0,27.4,46.0,5.0,0.0
1, 36 months,B2,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Aug-1987,7200.0,9.17,229.53,50000.0,19.25,13.0,0.0,9051.0,47.6,25.0,3.0,0.0
1, 36 months,A5,w,Individual,Not Verified,credit_card,RENT,Oct-1998,10000.0,7.91,312.95,40100.0,10.81,4.0,0.0,6664.0,45.0,7.0,0.0,0.0
0, 60 months,C3,w,Individual,Not Verified,credit_card,RENT,Apr-2002,16000.0,13.44,367.67,42000.0,9.6,29.0,0.0,11834.0,44.8,48.0,0.0,0.0
1, 36 months,C1,w,Individual,Source Verified,credit_card,RENT,Apr-2001,21875.0,11.99,726.46,47590.0,17.76,9.0,0.0,24882.0,57.1,14.0,0.0,0.0
1, 60 months,D5,w,Individual,Verified,debt_consolidation,MORTGAGE,Aug-2001,14025.0,18.49,359.9,39000.0,18.0,12.0,0.0,15646.0,74.9,21.0,3.0,0.0
0, 60 months,C2,w,Individual,Source Verified,debt_consolidation,MORTGAGE,Apr-2002,35000.0,12.88,794.21,106000.0,17.36,8.0,0.0,39055.0,72.1,27.0,4.0,0.0
1, 36 months,C2,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Feb-2004,20000.0,12.88,672.73,145000.0,12.28,12.0,0.0,22551.0,80.2,21.0,5.0,0.0
0, 60 months,C5,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Aug-2009,14000.0,14.85,331.96,60000.0,24.29,11.0,0.0,12718.0,73.9,24.0,0.0,0.0
0, 60 months,C4,w,Individual,Source Verified,debt_consolidation,OWN,Jun-2001,20000.0,13.99,465.27,70000.0,16.9,20.0,0.0,31200.0,42.0,35.0,0.0,0.0
1, 36 months,C3,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Jan-1999,4200.0,13.44,142.41,102500.0,26.21,14.0,0.0,11947.0,88.5,37.0,7.0,0.0
1, 60 months,C5,w,Individual,Not Verified,credit_card,OWN,Jun-2000,19000.0,14.85,450.52,75000.0,13.09,15.0,0.0,17771.0,63.7,34.0,3.0,0.0
1, 60 months,F2,f,Individual,Not Verified,debt_consolidation,OWN,Jan-2007,15850.0,23.13,448.01,45000.0,34.85,18.0,0.0,8799.0,21.3,24.0,0.0,0.0
1, 36 months,D1,w,Individual,Not Verified,home_improvement,MORTGAGE,Aug-1997,30000.0,15.77,1051.31,175000.0,18.5,9.0,0.0,21831.0,50.3,23.0,3.0,0.0
1, 36 months,A2,w,Individual,Not Verified,vacation,MORTGAGE,Dec-1987,1500.0,6.49,45.97,45000.0,16.11,12.0,0.0,3717.0,21.2,37.0,4.0,0.0
1, 36 months,A1,w,Individual,Not Verified,credit_card,MORTGAGE,Feb-1996,25000.0,5.32,752.87,150000.0,9.54,7.0,0.0,19339.0,42.5,18.0,7.0,0.0
0, 60 months,D5,w,Individual,Source Verified,debt_consolidation,RENT,Jun-2004,20200.0,18.49,518.35,60000.0,34.84,10.0,1.0,8284.0,40.6,16.0,0.0,1.0
0, 60 months,E3,w,Individual,Not Verified,credit_card,RENT,Jun-1995,23975.0,19.89,633.73,70000.0,33.2,10.0,0.0,44807.0,94.9,19.0,3.0,0.0
1, 60 months,B4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Aug-2001,15000.0,10.78,324.5,65000.0,29.28,18.0,0.0,24723.0,69.8,32.0,1.0,0.0
1, 36 months,B4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Oct-2004,10000.0,10.78,326.35,41600.0,15.78,18.0,0.0,12958.0,52.5,33.0,2.0,0.0
1, 36 months,B1,w,Individual,Not Verified,credit_card,MORTGAGE,Dec-2002,15000.0,8.49,473.45,110000.0,13.24,16.0,1.0,19029.0,41.4,33.0,4.0,1.0
0, 60 months,E4,w,Individual,Not Verified,car,OWN,Aug-1986,23100.0,20.5,618.46,110000.0,20.43,11.0,0.0,20594.0,94.9,24.0,2.0,0.0
0, 36 months,D3,w,Individual,Not Verified,home_improvement,MORTGAGE,Nov-2002,27300.0,17.27,977.0,65000.0,25.63,14.0,0.0,31035.0,83.0,38.0,2.0,0.0
1, 60 months,B5,w,Individual,Not Verified,credit_card,MORTGAGE,Oct-2004,25000.0,11.48,549.57,135000.0,4.65,16.0,0.0,7340.0,13.5,33.0,5.0,0.0
1, 36 months,B4,w,Individual,Verified,credit_card,RENT,Oct-2006,15000.0,10.78,489.52,40000.0,10.17,7.0,0.0,12272.0,75.3,9.0,0.0,0.0
1, 60 months,D2,w,Individual,Source Verified,debt_consolidation,RENT,Sep-2000,10000.0,16.59,246.33,30000.0,30.84,19.0,1.0,6118.0,26.6,36.0,0.0,1.0
1, 60 months,C2,w,Individual,Source Verified,debt_consolidation,MORTGAGE,Jun-2002,18500.0,12.88,419.8,70000.0,13.2,9.0,0.0,15883.0,57.8,19.0,2.0,0.0
1, 36 months,A5,w,Individual,Source Verified,credit_card,RENT,Feb-2012,5000.0,7.91,156.48,32000.0,13.73,7.0,1.0,5552.0,41.1,10.0,0.0,1.0
1, 36 months,B2,w,Individual,Not Verified,debt_consolidation,OWN,Jun-2001,9000.0,9.17,286.92,50000.0,11.98,5.0,0.0,7518.0,48.5,11.0,2.0,0.0
1, 36 months,A2,w,Individual,Not Verified,credit_card,MORTGAGE,Apr-2005,11000.0,6.49,337.09,85000.0,15.0,12.0,0.0,9488.0,20.1,31.0,0.0,0.0
1, 36 months,A2,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Sep-1994,20000.0,6.49,612.89,55000.0,29.15,9.0,0.0,4851.0,23.8,23.0,1.0,0.0
1, 36 months,A1,w,Individual,Not Verified,debt_consolidation,RENT,Apr-1993,15000.0,5.32,451.73,80000.0,20.18,30.0,0.0,41593.0,21.4,47.0,2.0,0.0
1, 36 months,A1,w,Individual,Source Verified,debt_consolidation,MORTGAGE,Sep-2007,12000.0,5.32,361.38,53750.0,15.3,8.0,0.0,3172.0,17.2,19.0,2.0,0.0
1, 36 months,B4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Jan-1998,8000.0,10.78,261.08,45000.0,21.23,28.0,0.0,11141.0,35.5,69.0,2.0,0.0
1, 36 months,B4,w,Individual,Not Verified,credit_card,RENT,May-2008,12000.0,10.78,391.62,40000.0,31.95,16.0,0.0,11008.0,41.4,22.0,0.0,0.0
1, 36 months,A4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Mar-2001,18000.0,7.49,559.83,75000.0,25.65,12.0,0.0,7758.0,33.2,47.0,1.0,0.0
1, 36 months,B5,w,Individual,Source Verified,debt_consolidation,MORTGAGE,Apr-1994,3600.0,11.48,118.68,85000.0,17.44,12.0,1.0,6952.0,28.7,23.0,1.0,1.0
0, 36 months,D3,w,Individual,Verified,debt_consolidation,OWN,Apr-2003,7200.0,17.27,257.67,20000.0,13.21,8.0,0.0,7302.0,32.6,17.0,0.0,0.0
1, 60 months,C3,w,Individual,Source Verified,credit_card,RENT,Dec-2001,15000.0,13.44,344.69,77213.0,18.17,17.0,1.0,59237.0,25.8,44.0,1.0,1.0
1, 36 months,B3,f,Individual,Not Verified,other,OWN,Jan-2002,5000.0,9.8,160.87,72000.0,6.52,11.0,1.0,4838.0,56.3,20.0,2.0,1.0
0, 60 months,D2,w,Individual,Not Verified,credit_card,RENT,Jan-2011,11550.0,16.59,284.51,38000.0,21.07,9.0,0.0,7179.0,39.7,12.0,0.0,0.0
1, 36 months,B4,w,Individual,Source Verified,debt_consolidation,RENT,Nov-2000,33600.0,10.78,1096.53,104000.0,14.01,14.0,0.0,28475.0,51.8,31.0,1.0,0.0
0, 36 months,C4,w,Individual,Not Verified,debt_consolidation,RENT,May-2002,17475.0,13.99,597.17,39750.0,23.58,7.0,0.0,10987.0,52.3,13.0,0.0,0.0
1, 36 months,B1,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Nov-2000,9000.0,8.49,284.07,47000.0,8.43,12.0,0.0,9747.0,26.7,22.0,0.0,0.0
1, 60 months,B3,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Nov-2003,12000.0,9.8,253.79,65000.0,23.84,18.0,0.0,9786.0,13.4,37.0,2.0,0.0
1, 36 months,B2,w,Individual,Verified,debt_consolidation,RENT,Sep-2003,4000.0,9.17,127.52,44500.0,15.83,4.0,1.0,502.0,4.2,24.0,3.0,1.0
1, 36 months,D1,w,Individual,Source Verified,credit_card,RENT,Aug-2008,10500.0,15.77,367.96,70100.0,8.51,5.0,0.0,8280.0,77.4,10.0,0.0,0.0
1, 36 months,B3,f,Individual,Not Verified,medical,MORTGAGE,Dec-1997,14000.0,9.8,450.43,100000.0,15.97,7.0,0.0,34250.0,36.1,14.0,2.0,0.0
1, 36 months,A5,w,Individual,Not Verified,car,MORTGAGE,May-2006,6000.0,7.91,187.77,105000.0,14.45,9.0,3.0,8353.0,65.3,11.0,1.0,0.0
1, 36 months,B3,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Nov-2001,15000.0,9.8,482.61,92000.0,13.89,7.0,2.0,12703.0,35.2,31.0,6.0,1.0
1, 36 months,B2,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Sep-2006,12000.0,9.17,382.55,39400.0,26.32,18.0,0.0,10495.0,34.6,25.0,2.0,0.0
1, 36 months,B5,w,Individual,Not Verified,debt_consolidation,RENT,Aug-2009,10000.0,11.48,329.67,33000.0,21.75,12.0,1.0,8052.0,35.6,20.0,0.0,0.0
1, 36 months,C4,w,Individual,Source Verified,other,RENT,Nov-2009,4200.0,13.99,143.53,32000.0,31.02,10.0,0.0,1294.0,11.7,16.0,0.0,0.0
1, 60 months,E4,w,Individual,Source Verified,debt_consolidation,MORTGAGE,Oct-1994,35000.0,20.5,937.06,120000.0,35.69,25.0,0.0,13993.0,32.2,54.0,3.0,0.0
0, 36 months,E1,w,Individual,Verified,debt_consolidation,MORTGAGE,Dec-1999,5475.0,18.99,200.67,108000.0,33.47,11.0,0.0,3045.0,41.0,27.0,2.0,0.0
1, 36 months,C3,w,Individual,Source Verified,debt_consolidation,OWN,Nov-1994,6000.0,13.44,203.44,38700.0,23.26,4.0,0.0,1960.0,19.2,10.0,0.0,0.0
1, 36 months,B2,w,Individual,Source Verified,debt_consolidation,MORTGAGE,May-1985,24000.0,9.17,765.1,75000.0,10.11,14.0,1.0,11763.0,39.5,25.0,3.0,1.0
1, 36 months,C2,w,Individual,Verified,debt_consolidation,RENT,Sep-2002,10000.0,12.88,336.37,60000.0,3.3,5.0,0.0,6727.0,64.1,42.0,2.0,0.0
1, 36 months,E3,w,Individual,Source Verified,debt_consolidation,RENT,Jun-2005,6900.0,19.89,256.05,80000.0,9.57,10.0,0.0,4091.0,35.9,16.0,0.0,0.0
1, 36 months,D2,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Jun-1999,15975.0,16.59,566.3,58800.0,20.45,11.0,0.0,9196.0,71.8,23.0,1.0,0.0
1, 36 months,C3,w,Individual,Verified,debt_consolidation,MORTGAGE,Jun-2001,21600.0,13.44,732.38,54000.0,17.64,9.0,0.0,26438.0,60.8,30.0,6.0,0.0
0, 60 months,E2,w,Individual,Source Verified,debt_consolidation,RENT,Nov-2006,14400.0,19.48,377.36,73320.0,17.02,9.0,0.0,12105.0,96.8,19.0,0.0,0.0
1, 36 months,C4,w,Individual,Not Verified,other,RENT,May-2006,8000.0,13.99,273.39,42000.0,23.26,8.0,0.0,4414.0,40.5,10.0,0.0,0.0
1, 36 months,C4,w,Individual,Source Verified,debt_consolidation,RENT,Nov-2002,7000.0,13.99,239.21,83000.0,21.96,11.0,0.0,17866.0,83.1,28.0,0.0,0.0
1, 36 months,B4,w,Individual,Not Verified,debt_consolidation,OWN,Nov-2003,20000.0,10.78,652.7,55000.0,36.94,18.0,1.0,24365.0,43.0,32.0,0.0,0.0
0, 60 months,F5,w,Individual,Verified,debt_consolidation,RENT,Jan-2002,25825.0,26.06,774.14,68000.0,31.68,18.0,0.0,20769.0,69.7,33.0,0.0,0.0
1, 60 months,F1,w,Individual,Verified,debt_consolidation,MORTGAGE,Nov-1996,24575.0,22.45,685.04,92000.0,24.16,8.0,0.0,25225.0,79.3,27.0,3.0,0.0
1, 36 months,B1,w,Individual,Not Verified,medical,RENT,Feb-2000,3200.0,8.49,101.01,30407.0,20.61,5.0,0.0,1061.0,30.3,13.0,0.0,0.0
1, 60 months,D1,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Jan-1957,22875.0,15.77,553.49,137000.0,32.3,22.0,0.0,44174.0,45.8,62.0,5.0,0.0
1, 36 months,C3,w,Individual,Source Verified,debt_consolidation,MORTGAGE,Jun-2006,35000.0,13.44,1186.72,125000.0,24.19,15.0,0.0,47300.0,51.9,26.0,8.0,0.0
1, 36 months,D3,w,Individual,Verified,home_improvement,MORTGAGE,Jul-2001,2400.0,17.27,85.89,52000.0,28.38,16.0,1.0,7763.0,41.5,18.0,0.0,0.0
1, 36 months,A4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Aug-1974,25000.0,7.49,777.55,132000.0,13.83,14.0,0.0,33231.0,48.0,32.0,3.0,0.0
1, 36 months,C2,w,Individual,Not Verified,credit_card,RENT,Feb-2010,8800.0,12.88,296.0,55000.0,35.52,20.0,0.0,11331.0,37.5,29.0,0.0,0.0
1, 36 months,B5,w,Individual,Not Verified,debt_consolidation,RENT,Nov-2005,2500.0,11.48,82.42,16488.0,38.06,12.0,0.0,2469.0,8.2,18.0,0.0,0.0
1, 36 months,A1,w,Individual,Not Verified,credit_card,RENT,Nov-2002,8000.0,5.32,240.92,50000.0,14.86,21.0,0.0,6452.0,35.1,64.0,0.0,0.0
0, 36 months,C1,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Dec-1999,20000.0,11.99,664.2,78000.0,27.1,15.0,0.0,40405.0,48.2,37.0,6.0,0.0
0, 60 months,C2,w,Individual,Source Verified,major_purchase,MORTGAGE,Dec-1983,35000.0,12.88,794.21,110000.0,13.39,19.0,0.0,23315.0,47.2,32.0,2.0,0.0
1, 36 months,A4,w,Individual,Verified,debt_consolidation,MORTGAGE,Jan-1993,15000.0,7.49,466.53,45000.0,10.67,10.0,0.0,16173.0,43.5,20.0,2.0,0.0
0, 36 months,D1,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Mar-2004,16000.0,15.77,560.7,70000.0,8.78,7.0,0.0,15986.0,76.1,25.0,1.0,0.0
1, 60 months,C4,w,Individual,Source Verified,debt_consolidation,RENT,Oct-1999,10800.0,13.99,251.25,40000.0,26.13,7.0,2.0,8192.0,71.2,14.0,0.0,2.0
1, 36 months,D4,w,Individual,Source Verified,debt_consolidation,OWN,Aug-1998,7500.0,17.97,271.04,15000.0,37.2,8.0,1.0,7933.0,66.7,14.0,0.0,1.0
0, 36 months,B4,w,Individual,Not Verified,debt_consolidation,RENT,Dec-2006,16000.0,10.78,522.16,63000.0,35.19,12.0,0.0,20672.0,46.0,22.0,0.0,0.0
1, 36 months,A1,w,Individual,Not Verified,credit_card,MORTGAGE,Nov-1991,9000.0,5.32,271.04,49000.0,21.63,18.0,0.0,8775.0,11.7,29.0,0.0,0.0
1, 36 months,D1,w,Individual,Not Verified,other,RENT,Apr-2006,9500.0,15.77,332.92,28000.0,27.95,7.0,0.0,1844.0,55.9,14.0,0.0,0.0
0, 36 months,A5,w,Individual,Not Verified,debt_consolidation,OWN,Oct-2008,10000.0,7.91,312.95,25000.0,29.91,16.0,0.0,9053.0,22.9,30.0,0.0,0.0
1, 36 months,A5,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Nov-2004,6000.0,7.91,187.77,49000.0,17.92,10.0,0.0,2212.0,4.4,16.0,1.0,0.0
1, 60 months,C3,w,Individual,Not Verified,major_purchase,MORTGAGE,Feb-1995,15600.0,13.44,358.48,52000.0,15.37,6.0,0.0,12329.0,69.3,13.0,3.0,0.0
1, 36 months,B1,w,Individual,Source Verified,debt_consolidation,OWN,Oct-1991,35000.0,8.49,1104.71,90000.0,13.36,11.0,0.0,15448.0,42.9,26.0,3.0,0.0
1, 36 months,B5,w,Individual,Not Verified,debt_consolidation,MORTGAGE,Jun-1995,5000.0,11.48,164.84,78000.0,21.21,19.0,0.0,34764.0,54.3,21.0,1.0,0.0
1, 60 months,D5,w,Individual,Source Verified,credit_card,MORTGAGE,Sep-1983,20400.0,18.49,523.48,75000.0,38.65,22.0,0.0,24345.0,42.6,49.0,3.0,0.0
0, 36 months,D4,w,Individual,Not Verified,debt_consolidation,MORTGAGE,May-1994,8000.0,17.97,289.1,33130.0,11.52,18.0,0.0,7610.0,27.4,26.0,1.0,0.0
1, 36 months,B4,w,Individual,Not Verified,debt_consolidation,RENT,Jan-2008,16000.0,10.78,522.16,87500.0,13.74,13.0,0.0,21151.0,83.9,17.0,0.0,0.0
